Type,OpCo,Plant,Customer,Delivery Date,Movement,Industry,Material_Group
M,North America,US01,200457,10-08-2015,226.796,2231,2007072
M,North America,US01,100380,06-01-2016,18.144,2231,2007693
M,North America,US01,100010,24-02-2016,226.796,2231,2007368
M,North America,US01,100380,02-05-2017,18.144,2231,2007693
M,North America,US01,200456,29-09-2017,226.796,2231,2007072
M,North America,US01,200456,05-10-2015,226.796,2231,2007072
M,North America,US01,200456,25-11-2015,226.796,2231,2007072
M,North America,US01,200456,02-12-2015,226.796,2231,2007072
M,North America,US01,200456,01-04-2016,226.796,2231,2007072
M,North America,US01,200456,06-06-2016,226.796,2231,2007072
M,North America,US01,200456,12-07-2016,226.796,2231,2007072
M,North America,US01,200456,20-09-2016,226.796,2231,2007072
M,North America,US01,200456,26-09-2016,226.796,2231,2007072
M,North America,US01,200456,26-10-2016,226.796,2231,2007072
M,North America,US01,200456,07-03-2017,226.796,2231,2007072
M,North America,US01,200456,23-05-2017,226.796,2231,2007072
M,North America,US01,200456,21-07-2017,226.796,2231,2007072
M,North America,US01,202629,27-09-2017,226.796,2013,2007072
M,North America,US01,202629,05-10-2017,226.796,2013,2007072
M,North America,US01,202629,08-11-2017,226.796,2013,2007072
M,North America,US01,202629,19-12-2016,226.796,2013,2007072
M,North America,US01,202629,17-02-2017,226.796,2013,2007072
M,North America,US01,202629,12-04-2017,226.796,2013,2007072
M,North America,US01,202629,14-04-2017,226.796,2013,2007072
M,North America,US01,202360,18-09-2015,18.144,2013,2007693
M,North America,US01,200597,14-06-2016,18.144,2013,2019023
M,North America,US01,101869,10-01-2017,18.144,2013,2019023
M,North America,US01,100252,21-09-2017,226.796,2232,2007072
M,North America,US01,100252,31-10-2017,226.796,2232,2007072
M,North America,US01,100252,15-12-2017,226.796,2232,2007072
M,North America,US01,100252,08-01-2018,226.796,2232,2007072
M,North America,US01,100252,08-02-2018,226.796,2232,2007072
M,North America,US01,200354,15-09-2015,226.796,2232,2007072
M,North America,US01,100252,05-04-2017,226.796,2232,2007072
M,North America,US01,200182,26-04-2016,226.796,4149,2011382
M,North America,US01,200760,29-06-2016,226.796,4149,2011382
M,North America,US01,200760,12-10-2016,226.796,4149,2011382
M,North America,US01,200182,02-05-2017,226.796,4149,2011382
M,North America,US01,200760,11-05-2017,226.796,4149,2011382
M,North America,US01,200760,06-09-2017,226.796,4149,2011382
M,North America,US01,203833,25-06-2020,226.796,4149,2011382
M,North America,US01,ONETIME,20-10-2015,18.144,1003,2015023
M,North America,US01,ONETIME,09-03-2016,18.144,1003,2015023
M,North America,US01,100120,07-06-2016,18.144,3025,2015540
M,North America,US01,201435,01-08-2016,18.144,1003,2020978
M,North America,US01,200760,16-03-2016,226.796,4149,2011382
M,North America,US01,200354,02-10-2015,226.796,2232,2007072
M,North America,US01,201484,31-08-2015,226.796,1004,2017507
M,North America,US01,201484,25-02-2016,226.796,1004,2017507
M,North America,US01,201484,24-08-2016,226.796,1004,2017507
M,North America,US01,201484,08-02-2017,226.796,1004,2017507
M,North America,US01,202429,14-03-2018,952.543,2013,2007683
M,North America,US01,202429,15-05-2018,952.543,2013,2007683
M,North America,US01,202429,23-05-2018,952.543,2013,2007683
M,North America,US01,103217,31-05-2018,952.543,2013,2007683
M,North America,US01,103217,15-06-2018,952.543,2013,2007683
M,North America,US01,200470,12-04-2021,952.543,2013,2007683
M,North America,US01,103276,04-05-2018,226.796,2013,2007072
M,North America,US01,ONETIME,27-09-2019,18.144,2013,2021551
M,North America,US01,105844,06-08-2021,226.796,2013,2011382
M,North America,US01,200456,27-03-2018,226.796,2231,2007072
M,North America,US01,200456,27-06-2018,226.796,2231,2007072
M,North America,US01,200456,14-08-2018,226.796,2231,2007072
M,North America,US01,100252,20-03-2018,226.796,2232,2007072
M,North America,US01,203070,23-04-2018,226.796,4149,2011382
M,North America,US01,200760,11-09-2018,226.796,4149,2011382
M,North America,US01,200760,12-12-2018,226.796,4149,2011382
M,North America,US01,203070,18-03-2019,226.796,4149,2011382
M,North America,US01,203070,31-07-2019,226.796,4149,2011382
M,North America,US01,104479,28-05-2020,226.796,4149,2011382
M,North America,US01,104479,15-07-2020,226.796,4149,2011382
M,North America,US01,104479,31-08-2020,226.796,4149,2011382
M,North America,US01,203387,31-08-2020,226.796,4149,2011382
M,North America,US01,105514,22-10-2020,226.796,4149,2011382
M,North America,US01,105514,22-03-2021,226.796,4149,2011382
M,North America,US01,203070,31-03-2021,226.796,4149,2011382
M,North America,US01,200858,19-04-2021,226.796,4149,2011382
M,North America,US01,203387,19-07-2021,226.796,4149,2011382
M,North America,US01,205003,29-07-2021,18.144,5000,2020978
M,North America,US01,200162,24-09-2021,226.796,4149,2011382
M,North America,US01,105514,29-09-2021,226.796,4149,2011382
M,North America,US01,105514,20-10-2021,226.796,4149,2011382
M,North America,US01,201093,13-03-2018,952.543,4345,2012868
M,North America,US01,201145,13-03-2019,18.144,2222,2007693
M,North America,US01,200986,17-06-2022,952.543,4345,2012868
M,North America,US01,201329,19-09-2022,226.796,2019,2014689
M,North America,US01,100574,27-08-2019,952.543,2013,2007683
M,North America,US01,203046,22-02-2018,226.796,4149,2007321
M,North America,US01,200662,13-04-2018,226.796,4149,2007321
M,North America,US01,203102,11-12-2018,226.796,4149,2007321
M,North America,US01,201484,05-03-2018,226.796,1004,2017507
M,North America,US01,202429,04-10-2017,952.543,2013,2007683
M,North America,US01,202429,27-11-2017,952.543,2013,2007683
M,North America,US01,202429,07-02-2018,952.543,2013,2007683
M,North America,US01,202429,19-02-2018,952.543,2013,2007683
M,North America,US01,100503,25-09-2015,952.543,2013,2007683
M,North America,US01,202429,23-03-2016,952.543,2013,2007683
M,North America,US01,202429,22-06-2017,952.543,2013,2007683
M,North America,US01,202429,12-07-2017,952.543,2013,2007683
M,North America,US01,200470,18-06-2020,952.543,2013,2007683
M,North America,US01,100616,18-09-2017,952.543,4345,2012868
M,North America,US01,200827,12-10-2017,952.543,4345,2012868
M,North America,US01,200827,01-09-2015,952.543,4345,2012868
M,North America,US01,100616,01-04-2016,952.543,4345,2012868
M,North America,US01,200827,10-05-2016,952.543,4345,2012868
M,North America,US01,100616,21-07-2016,952.543,4345,2012868
M,North America,US01,200827,23-09-2016,952.543,4345,2012868
M,North America,US01,100616,27-10-2016,952.543,4345,2012868
M,North America,US01,200827,26-04-2017,952.543,4345,2012868
M,North America,US01,100616,21-06-2017,952.543,4345,2012868
M,North America,US01,200827,24-07-2017,952.543,4345,2012868
M,North America,US01,201045,16-03-2016,952.543,4345,2012868
M,North America,US01,202482,28-03-2016,498.951,4149,2020028
M,North America,US01,202429,07-01-2019,952.543,2014,2007683
M,North America,US01,202429,27-03-2019,952.543,2014,2007683
M,North America,US01,202429,24-06-2019,952.543,2014,2007683
M,North America,US01,202429,11-09-2019,952.543,2014,2007683
M,North America,US01,202429,23-10-2019,952.543,2014,2007683
M,North America,US01,202429,31-12-2019,952.543,2014,2007683
M,North America,US01,202429,06-03-2020,952.543,2013,2007683
M,North America,US01,202429,05-05-2020,952.543,2013,2007683
M,North America,US01,202429,02-06-2020,952.543,2013,2007683
M,North America,US01,100543,29-07-2020,952.543,2013,2007683
M,North America,US01,202429,14-08-2020,952.543,2013,2007683
M,North America,US01,202429,10-11-2020,952.543,2013,2007683
M,North America,US01,202429,07-01-2021,952.543,2013,2007683
M,North America,US01,202429,01-04-2021,952.543,2013,2007683
M,North America,US01,100543,28-06-2021,952.543,2013,2007683
M,North America,US01,202429,26-07-2021,952.543,2013,2007683
M,North America,US01,202429,05-10-2021,952.543,2013,2007683
M,North America,US01,202429,03-11-2021,952.543,2013,2007683
M,North America,US01,202429,29-03-2022,952.543,2019,2007683
M,North America,US01,202429,10-06-2022,952.543,2019,2007683
M,North America,US01,204753,08-03-2022,952.543,1003,2022115
M,North America,US01,101895,12-08-2022,952.543,1003,2021762
M,North America,US01,101895,12-08-2022,952.543,1003,2022115
M,North America,US01,201102,17-08-2022,952.543,1003,2022115
M,North America,US01,202300,12-03-2019,952.543,5000,2021762
M,North America,US01,100616,01-03-2018,952.543,4345,2012868
M,North America,US01,200827,10-05-2018,952.543,4345,2012868
M,North America,US01,200237,11-05-2018,952.543,4345,2012868
M,North America,US01,200827,06-07-2018,952.543,4345,2012868
M,North America,US01,100616,13-07-2018,952.543,4345,2012868
M,North America,US01,200827,31-08-2018,952.543,4345,2012868
M,North America,US01,200827,17-01-2019,952.543,4345,2012868
M,North America,US01,200827,07-03-2019,952.543,4345,2012868
M,North America,US01,200827,05-06-2019,952.543,4345,2012868
M,North America,US01,100616,12-06-2019,952.543,4345,2012868
M,North America,US01,100616,05-09-2019,952.543,4345,2012868
M,North America,US01,200827,26-12-2019,952.543,4345,2012868
M,North America,US01,200237,17-03-2020,952.543,4345,2012868
M,North America,US01,200827,06-04-2020,952.543,4345,2012868
M,North America,US01,200827,01-05-2020,952.543,4345,2012868
M,North America,US01,100616,06-05-2020,952.543,4345,2012868
M,North America,US01,100616,07-08-2020,952.543,4345,2012868
M,North America,US01,201142,14-08-2020,952.543,4345,2012868
M,North America,US01,200827,03-09-2020,952.543,4345,2012868
M,North America,US01,200827,10-12-2020,952.543,4345,2012868
M,North America,US01,200237,09-04-2021,952.543,4345,2012868
M,North America,US01,200827,21-04-2021,952.543,4345,2012868
M,North America,US01,200827,10-06-2021,952.543,4345,2012868
M,North America,US01,200827,30-07-2021,952.543,4345,2012868
M,North America,US01,200827,09-11-2021,952.543,4345,2012868
M,North America,US01,200827,24-11-2021,952.543,4345,2012868
M,North America,US01,201142,20-12-2021,952.543,4345,2012868
M,North America,US01,100616,10-02-2022,952.543,4345,2012868
M,North America,US01,200237,29-04-2022,952.543,4345,2012868
M,North America,US01,100616,19-05-2022,952.543,4345,2012868
M,North America,US01,203328,17-06-2022,952.543,4345,2012868
M,North America,US01,200827,17-06-2022,952.543,4345,2012868
M,North America,US01,200827,02-09-2022,952.543,4345,2012868
M,North America,US01,202429,05-05-2022,952.543,2019,2007683
M,North America,US01,203102,22-05-2018,181.437,4149,2007321
M,North America,US01,200470,20-11-2019,952.543,2013,2007683
M,North America,US01,202429,07-02-2022,952.543,2019,2007683
M,North America,US01,100616,22-09-2022,952.543,4345,2012868
M,North America,US01,201439,30-09-2022,952.543,1003,2022115
M,North America,US01,101680,05-05-2016,1088.621,1003,2017620
M,North America,US01,201101,01-06-2018,1088.621,1004,2016060
M,North America,US01,200240,04-09-2015,1088.621,2013,2007175
M,North America,US01,200240,22-10-2015,1088.621,2013,2007175
M,North America,US01,201161,06-01-2016,1088.621,2013,2007175
M,North America,US01,201090,23-02-2016,1088.621,2013,2007175
M,North America,US01,201090,13-04-2016,1088.621,2013,2007175
M,North America,US01,201090,22-08-2016,1088.621,2013,2007175
M,North America,US01,201090,23-03-2017,1088.621,2013,2007175
M,North America,US01,201079,21-07-2017,916.256,1004,2014689
M,North America,US01,BE01,03-11-2017,1088.621,5000,2007175
M,North America,US01,200562,04-12-2017,181.437,4149,2007321
M,North America,US01,200703,21-08-2015,1088.621,4355,2007175
M,North America,US01,200703,19-10-2015,1088.621,4355,2007175
M,North America,US01,200703,27-01-2016,1088.621,4355,2007175
M,North America,US01,200703,09-03-2016,1088.621,4355,2007175
M,North America,US01,200703,08-06-2016,1088.621,4355,2007175
M,North America,US01,200703,18-10-2016,1088.621,4355,2007175
M,North America,US01,200703,31-10-2016,1088.621,4355,2007175
M,North America,US01,200703,07-12-2016,1088.621,4355,2007175
M,North America,US01,200703,09-01-2017,1088.621,4355,2007175
M,North America,US01,200703,13-03-2017,1088.621,4355,2007175
M,North America,US01,200703,06-06-2017,1088.621,4355,2007175
M,North America,US01,200703,13-06-2017,1088.621,4355,2007175
M,North America,US01,200703,20-06-2017,1088.621,4355,2007175
M,North America,US01,200703,28-06-2017,1088.621,4355,2007175
M,North America,US01,100344,20-09-2017,1088.621,2014,2007175
M,North America,US01,100344,29-09-2017,1088.621,2014,2007175
M,North America,US01,100344,23-10-2017,1088.621,2014,2007175
M,North America,US01,100344,20-11-2017,1088.621,2014,2007175
M,North America,US01,201318,19-01-2018,1088.621,2014,2007175
M,North America,US01,100204,15-03-2016,1088.621,2231,2016766
M,North America,US01,101872,01-05-2019,1088.621,4345,2021536
M,North America,US01,201177,02-05-2019,1088.621,4345,2021536
M,North America,US01,201391,03-05-2019,1088.621,4345,2021536
M,North America,US01,201391,08-07-2020,1088.621,4345,2021536
M,North America,US01,201177,15-07-2020,1088.621,4345,2021536
M,North America,US01,201093,20-10-2020,1088.621,4345,2021536
M,North America,US01,203054,12-11-2020,1088.621,4345,2021536
M,North America,US01,101872,23-11-2020,1088.621,4345,2021536
M,North America,US01,201391,10-12-2020,1088.621,4345,2021536
M,North America,US01,201093,21-12-2020,1088.621,4345,2021536
M,North America,US01,201177,15-01-2021,1088.621,4345,2021536
M,North America,US01,201093,29-01-2021,1088.621,4345,2021536
M,North America,US01,201391,01-03-2021,1088.621,4345,2021536
M,North America,US01,101872,01-03-2021,1088.621,4345,2021536
M,North America,US01,201093,05-03-2021,1088.621,4345,2021536
M,North America,US01,101872,19-03-2021,1088.621,4345,2021536
M,North America,US01,203054,19-03-2021,1088.621,4345,2021536
M,North America,US01,201391,01-04-2021,1088.621,4345,2021536
M,North America,US01,201272,01-04-2021,1088.621,4345,2021536
M,North America,US01,201093,03-05-2021,1088.621,4345,2021536
M,North America,US01,201391,01-06-2021,1088.621,4345,2021536
M,North America,US01,101872,01-06-2021,1088.621,4345,2021536
M,North America,US01,101872,13-07-2021,1088.621,4345,2021536
M,North America,US01,201093,16-08-2021,1088.621,4345,2021536
M,North America,US01,101872,17-08-2021,1088.621,4345,2021536
M,North America,US01,203054,16-09-2021,1088.621,4345,2021536
M,North America,US01,101872,07-10-2021,1088.621,4345,2021536
M,North America,US01,201391,14-10-2021,1088.621,4345,2021536
M,North America,US01,201177,29-11-2021,1088.621,4345,2021536
M,North America,US01,201391,29-11-2021,1088.621,4345,2021536
M,North America,US01,201396,19-09-2022,1088.621,1002,2021536
M,North America,US01,BE01,02-09-2020,1088.621,5000,2021859
M,North America,US01,202929,16-09-2020,1088.621,5000,2021859
M,North America,US01,202975,22-09-2020,1088.621,5000,2021859
M,North America,US01,BE01,30-04-2020,1088.621,5000,2021859
M,North America,US01,100344,06-06-2018,1088.621,2014,2007175
M,North America,US01,201319,09-06-2021,1088.621,2013,2007175
M,North America,US01,201161,29-07-2021,1088.621,2013,2007175
M,North America,US01,201161,03-09-2021,1088.621,2013,2007175
M,North America,US01,201161,20-10-2021,1088.621,2013,2007175
M,North America,US01,201319,10-02-2022,1088.621,2019,2007175
M,North America,US01,201127,26-01-2022,1088.621,4050,2007175
M,North America,US01,201161,25-02-2022,1088.621,4050,2007175
M,North America,US01,201332,30-03-2022,181.437,2222,2013469
M,North America,US01,201318,29-09-2022,1088.621,2019,2007175
M,North America,US01,202300,12-10-2018,1031.922,5000,2014301
M,North America,US01,202300,20-03-2019,1031.922,5000,2014301
M,North America,US01,202300,19-08-2019,1031.922,5000,2014301
M,North America,US01,202300,01-10-2019,1031.922,5000,2014301
M,North America,US01,202300,27-12-2019,1031.922,5000,2014301
M,North America,US01,202300,02-03-2020,1031.922,5000,2014301
M,North America,US01,201447,16-02-2018,1031.922,1003,2014737
M,North America,US01,201444,25-02-2016,1031.922,1003,2014737
M,North America,US01,201444,09-03-2016,1031.922,1003,2014737
M,North America,US01,201444,28-03-2016,1031.922,1003,2014737
M,North America,US01,201444,21-04-2016,1031.922,1003,2014737
M,North America,US01,201444,14-06-2016,1031.922,1003,2014737
M,North America,US01,201444,23-06-2016,1031.922,1003,2014737
M,North America,US01,201444,03-08-2017,1031.922,1003,2014737
M,North America,US01,201447,04-12-2017,1031.922,1003,2014737
M,North America,US01,201448,31-01-2018,1031.922,1003,2014737
M,North America,US01,101895,31-01-2018,1031.922,1003,2014737
M,North America,US01,101895,09-02-2018,1031.922,1003,2014737
M,North America,US01,201448,21-02-2018,1031.922,1003,2014737
M,North America,US01,201447,18-08-2015,1031.922,1003,2014737
M,North America,US01,201448,27-01-2016,1031.922,1003,2014737
M,North America,US01,201448,23-02-2016,1031.922,1003,2014737
M,North America,US01,201448,04-04-2016,1031.922,1003,2014737
M,North America,US01,201447,05-05-2016,1031.922,1003,2014737
M,North America,US01,201447,07-06-2016,1031.922,1003,2014737
M,North America,US01,101680,10-06-2016,1088.621,1003,2017620
M,North America,US01,201448,14-06-2016,1031.922,1003,2014737
M,North America,US01,201448,28-09-2016,1031.922,1003,2014737
M,North America,US01,201447,01-11-2016,1031.922,1003,2014737
M,North America,US01,201447,22-12-2016,1031.922,1003,2014737
M,North America,US01,201448,25-01-2017,1031.922,1003,2014737
M,North America,US01,201448,03-05-2017,1031.922,1003,2014737
M,North America,US01,201444,13-08-2015,1031.922,1002,2014737
M,North America,US01,201444,27-08-2015,1031.922,1002,2014737
M,North America,US01,201305,16-09-2015,1031.922,1002,2016828
M,North America,US01,201444,07-10-2015,1031.922,1002,2014737
M,North America,US01,201305,20-10-2015,1031.922,1002,2016828
M,North America,US01,201444,12-11-2015,1031.922,1002,2014737
M,North America,US01,201305,18-12-2015,1031.922,1002,2016828
M,North America,US01,201305,25-01-2016,1031.922,1002,2016828
M,North America,US01,201058,11-09-2017,1031.922,2232,2020447
M,North America,US01,201097,14-09-2017,1031.922,2232,2020447
